,Faaborg-Midtfyn,32389.0,32165.0,31878.0,31614.0,31502.0,31210.0,31169.0,31050.0,31027.0,30932.0
,Kerteminde,14991.0,14814.0,14547.0,14364.0,14232.0,14136.0,14072.0,14020.0,13827.0,13632.0
,Langeland,8024.0,7811.0,7685.0,7621.0,7468.0,7320.0,7154.0,7089.0,6939.0,6772.0
,Middelfart,24239.0,23992.0,23868.0,23663.0,23647.0,23808.0,23832.0,24087.0,24097.0,24075.0
,Nordfyns,18790.0,18672.0,18552.0,18377.0,18329.0,18107.0,17850.0,17851.0,17797.0,17678.0
,Nyborg,19872.0,19762.0,19700.0,19439.0,19305.0,19183.0,19087.0,19105.0,19117.0,19090.0
,Odense,120680.0,120401.0,120284.0,120035.0,119852.0,120072.0,120887.0,120571.0,120608.0,120867.0
,Svendborg,37083.0,36899.0,36751.0,36405.0,36142.0,35797.0,35659.0,35908.0,35928.0,35648.0
,Ærø,3862.0,3808.0,3647.0,3589.0,3478.0,3401.0,3345.0,3322.0,3223.0,3124.0
,Billund,16338.0,16133.0,15932.0,15667.0,15512.0,15290.0,15099.0,14951.0,14865.0,14704.0
,Esbjerg,73370.0,72651.0,71911.0,71118.0,70371.0,69863.0,69365.0,68885.0,68206.0,67496.0
,Fanø,2022.0,1981.0,1949.0,1936.0,1927.0,1948.0,1881.0,1862.0,1820.0,1762.0
,Fredericia,31398.0,31100.0,30854.0,30734.0,30597.0,30480.0,30279.0,30229.0,30354.0,30268.0
,Haderslev,35200.0,34719.0,34187.0,33848.0,33475.0,33091.0,32869.0,32487.0,31906.0,31556.0
,Kolding,55993.0,55708.0,55436.0,54993.0,54740.0,54868.0,54394.0,54239.0,54308.0,54265.0
,Sønderborg,44348.0,43684.0,43090.0,42675.0,42144.0,41601.0,41020.0,40544.0,40098.0,39581.0
,Tønder,23726.0,23384.0,22953.0,22582.0,22237.0,21823.0,21429.0,21014.0,20542.0,20087.0
,Varde,31484.0,31210.0,30831.0,30394.0,30054.0,29648.0,29286.0,29048.0,28725.0,28392.0
,Vejen,26340.0,26124.0,25782.0,25543.0,25388.0,25172.0,25018.0,24701.0,24434.0,24326.0
,Vejle,67828.0,67779.0,67541.0,67421.0,67131.0,67208.0,67431.0,67917.0,68327.0,68180.0
,Aabenraa,35424.0,35002.0,34542.0,34122.0,33713.0,33272.0,32962.0,32479.0,31928.0,31324.0
,Favrskov,30336.0,30108.0,29900.0,29717.0,29500.0,29471.0,29205.0,29262.0,29127.0,29112.0
,Hedensted,29449.0,29352.0,29155.0,29007.0,28790.0,28749.0,28757.0,28685.0,28733.0,28659.0
,Horsens,52465.0,52432.0,52265.0,52127.0,52085.0,52370.0,52622.0,53361.0,53683.0,53881.0
,Norddjurs,24771.0,24653.0,24307.0,23980.0,23431.0,23017.0,22714.0,22544.0,22145.0,21832.0
,Odder,13847.0,13874.0,13762.0,13781.0,13754.0,13768.0,13733.0,13779.0,13827.0,13941.0
,Randers,62481.0,62054.0,61715.0,61203.0,60631.0,60260.0,60109.0,60171.0,60179.0,60083.0
,Samsø,2283.0,2245.0,2174.0,2110.0,2089.0,2068.0,2041.0,2066.0,2070.0,2032.0
,Silkeborg,57527.0,57359.0,57126.0,57081.0,57371.0,57709.0,58083.0,58902.0,59915.0,60204.0
,Skanderborg,37664.0,37698.0,37737.0,37807.0,37870.0,38159.0,38249.0,38500.0,38605.0,38502.0
,Syddjurs,26576.0,26345.0,26095.0,25896.0,25797.0,25761.0,25746.0,25829.0,25900.0,25665.0
,Aarhus,204873.0,205531.0,206455.0,207422.0,209263.0,210648.0,213153.0,213491.0,214322.0,217095.0
,Herning,54436.0,54265.0,54178.0,53671.0,53331.0,53148.0,53026.0,52720.0,52357.0,51896.0
,Holstebro,36727.0,36391.0,36142.0,35998.0,35691.0,35579.0,35381.0,35224.0,35121.0,34932.0
,Ikast-Brande,25121.0,24846.0,24594.0,24393.0,24219.0,24098.0,23894.0,23803.0,23656.0,23467.0
,Lemvig,13337.0,13041.0,12754.0,12555.0,12355.0,12062.0,11872.0,11612.0,11385.0,11179.0
,Ringkøbing-Skjern,35491.0,35014.0,34495.0,34131.0,33741.0,33357.0,32889.0,32576.0,32205.0,31772.0
,Skive,30322.0,29936.0,29587.0,29241.0,28782.0,28425.0,28071.0,27608.0,27367.0,26928.0
,Struer,13627.0,13308.0,13029.0,12811.0,12652.0,12464.0,12241.0,12064.0,11902.0,11596.0
,Viborg,60513.0,60237.0,59768.0,59462.0,59196.0,58859.0,58448.0,58351.0,58259.0,58163.0
,Brønderslev,22780.0,22610.0,22503.0,22337.0,22178.0,22110.0,21939.0,21937.0,21895.0,21909.0
,Frederikshavn,38901.0,38276.0,37692.0,36986.0,36379.0,35789.0,35102.0,34780.0,34372.0,33788.0
,Hjørring,42090.0,41531.0,40916.0,40499.0,39948.0,39443.0,39082.0,38629.0,38325.0,37929.0
,Jammerbugt,24950.0,24746.0,24429.0,24108.0,23816.0,23652.0,23489.0,23241.0,23074.0,22947.0
,Læsø,1154.0,1139.0,1099.0,1060.0,1054.0,1021.0,988.0,995.0,986.0,955.0
,Mariagerfjord,27345.0,27060.0,26812.0,26518.0,26296.0,25955.0,25594.0,25409.0,25351.0,25071.0
,Morsø,13592.0,13325.0,13072.0,12794.0,12664.0,12415.0,12289.0,12126.0,11998.0,11894.0
,Rebild,18681.0,18565.0,18514.0,18652.0,18604.0,18620.0,18785.0,18790.0,18724.0,18658.0
,Thisted,28237.0,27785.0,27374.0,27064.0,26669.0,26319.0,26005.0,25738.0,25497.0,25268.0
,Vesthimmerlands,23600.0,23250.0,22958.0,22635.0,22323.0,21984.0,21687.0,21465.0,21204.0,20963.0
,Aalborg,135575.0,135549.0,135483.0,135237.0,135780.0,136667.0,138074.0,138986.0,138901.0,138979.0
,,,,,,,,,,,
