Sorø,6443.0,6286.0,6255.0,6174.0,6048.0,6021.0,5945.0,5898.0,5755.0,5622.0,5572.0
Stevns,4908.0,4803.0,4716.0,4653.0,4559.0,4440.0,4363.0,4324.0,4334.0,4267.0,4088.0
Vordingborg,10812.0,10639.0,10563.0,10441.0,10258.0,9989.0,9631.0,9359.0,9183.0,8833.0,8681.0
Assens,9552.0,9375.0,9277.0,9228.0,9016.0,8683.0,8480.0,8298.0,8254.0,8095.0,7884.0
Faaborg-Midtfyn,11159.0,10840.0,10731.0,10568.0,10294.0,10055.0,9775.0,9653.0,9497.0,9344.0,9208.0
Kerteminde,5485.0,5294.0,5202.0,4961.0,4816.0,4706.0,4649.0,4565.0,4417.0,4291.0,4132.0
Langeland,3099.0,3027.0,2977.0,2909.0,2896.0,2777.0,2659.0,2571.0,2497.0,2403.0,2291.0
Middelfart,7951.0,7778.0,7587.0,7487.0,7314.0,7179.0,7095.0,7040.0,7006.0,6908.0,6780.0
Nordfyns,6787.0,6625.0,6536.0,6451.0,6367.0,6224.0,6095.0,5916.0,5825.0,5777.0,5723.0
Nyborg,7182.0,7064.0,7025.0,7000.0,6783.0,6664.0,6483.0,6406.0,6345.0,6288.0,6227.0
Odense,38282.0,37297.0,36324.0,35472.0,34551.0,33685.0,33053.0,32582.0,32219.0,31649.0,31308.0
Svendborg,11855.0,11644.0,11581.0,11436.0,11144.0,10811.0,10449.0,10237.0,10169.0,9999.0,9838.0
Ærø,1282.0,1251.0,1194.0,1110.0,1056.0,987.0,945.0,899.0,891.0,858.0,807.0
Billund,6381.0,6287.0,6202.0,6042.0,5848.0,5781.0,5635.0,5551.0,5529.0,5380.0,5353.0
Esbjerg,25665.0,24996.0,24305.0,23617.0,22894.0,22177.0,21721.0,21307.0,21002.0,20457.0,20131.0
Fanø,476.0,467.0,470.0,463.0,440.0,452.0,450.0,433.0,426.0,412.0,390.0
Fredericia,11892.0,11529.0,11254.0,11071.0,10829.0,10600.0,10418.0,10221.0,10114.0,10033.0,9839.0
Haderslev,12937.0,12589.0,12321.0,12033.0,11818.0,11557.0,11399.0,11369.0,11276.0,10983.0,10956.0
Kolding,18827.0,18438.0,18265.0,17907.0,17550.0,17325.0,17124.0,16930.0,16763.0,16547.0,16433.0
Sønderborg,15934.0,15552.0,15234.0,14934.0,14588.0,14205.0,13854.0,13614.0,13482.0,13172.0,12840.0
Tønder,9353.0,9080.0,8873.0,8670.0,8473.0,8199.0,7881.0,7732.0,7517.0,7389.0,7198.0
Varde,11510.0,11252.0,11092.0,10821.0,10425.0,10165.0,9832.0,9593.0,9516.0,9218.0,9092.0
Vejen,10099.0,9821.0,9686.0,9504.0,9388.0,9175.0,8964.0,8837.0,8594.0,8424.0,8344.0
Vejle,23325.0,22990.0,22805.0,22537.0,22076.0,21727.0,21383.0,21213.0,21105.0,20852.0,20647.0
Aabenraa,13584.0,13338.0,13133.0,12822.0,12606.0,12243.0,11959.0,11816.0,11494.0,11160.0,10822.0
Favrskov,9141.0,8948.0,8843.0,8740.0,8445.0,8233.0,8180.0,7957.0,7899.0,7768.0,7713.0
Hedensted,10336.0,10270.0,10205.0,10033.0,9924.0,9716.0,9552.0,9415.0,9317.0,9152.0,9030.0
