,Middelfart,794.0,614.0,519.0,564.0,549.0,536.0,521.0,648.0,512.0,344.0,430.0
,Nordfyns,800.0,652.0,660.0,586.0,672.0,590.0,568.0,697.0,505.0,372.0,404.0
,Nyborg,829.0,702.0,617.0,560.0,624.0,530.0,523.0,695.0,491.0,349.0,471.0
,Odense,6534.0,5775.0,5618.0,5471.0,5359.0,4657.0,4468.0,5417.0,4263.0,3179.0,3710.0
,Svendborg,1704.0,1431.0,1292.0,1175.0,1215.0,1096.0,1043.0,1344.0,991.0,748.0,844.0
,Ærø,130.0,106.0,93.0,91.0,109.0,84.0,90.0,91.0,72.0,41.0,44.0
,Billund,482.0,437.0,396.0,329.0,354.0,337.0,316.0,463.0,355.0,189.0,235.0
,Esbjerg,2976.0,2435.0,2372.0,2077.0,2132.0,2036.0,1835.0,2361.0,1787.0,1296.0,1386.0
,Fanø,57.0,54.0,57.0,53.0,68.0,62.0,56.0,70.0,62.0,38.0,37.0
,Fredericia,1463.0,1248.0,1141.0,1100.0,1106.0,1018.0,1015.0,1224.0,975.0,637.0,736.0
,Haderslev,1447.0,1215.0,1070.0,944.0,977.0,911.0,882.0,1084.0,792.0,600.0,706.0
,Kolding,2256.0,1957.0,1821.0,1626.0,1670.0,1521.0,1557.0,1956.0,1411.0,1045.0,1265.0
,Sønderborg,1948.0,1543.0,1403.0,1344.0,1312.0,1172.0,1172.0,1473.0,999.0,698.0,891.0
,Tønder,1037.0,826.0,672.0,555.0,605.0,559.0,563.0,661.0,469.0,294.0,343.0
,Varde,974.0,732.0,712.0,626.0,672.0,667.0,605.0,794.0,578.0,404.0,458.0
,Vejen,969.0,786.0,705.0,643.0,624.0,566.0,545.0,698.0,473.0,300.0,389.0
,Vejle,2643.0,2226.0,2044.0,1817.0,1920.0,1783.0,1747.0,2358.0,1796.0,1252.0,1497.0
,Aabenraa,1687.0,1364.0,1229.0,1051.0,1055.0,956.0,893.0,1063.0,768.0,569.0,624.0
,Favrskov,960.0,794.0,688.0,613.0,650.0,591.0,574.0,776.0,629.0,456.0,505.0
